text,source,stratum,complexity_score,SDI,SCD,AR,LD,VRS,MATTR,PTD,PCD,ANR,PVD
"“Pray save me, Master,” he said, “and let me go free this once. My broken limb should excite your pity. Besides, I am no Crane, I am a Stork, a bird of excellent character; and see how I love and slave for my father and mother. Look too, at my feathers—they are not the least like those of a Crane.” The Farmer laughed aloud and said, “It may be all as you say, I only know this: I have taken you with these robbers, the Cranes, and you must die in their company.” Birds of a feather flock together. The Mountain in Labor A MOUNTAIN was once greatly agitated. Loud groans and noises were heard, and crowds of people came from all parts to see what was the matter. While they were assembled in anxious expectation of some terrible calamity, out came a Mouse. Don’t make much ado about nothing. The Bear and the Fox A BEAR boasted very much of his philanthropy, saying that of all animals he was the most tender in his regard for man, for he had such respect for him that he would not even touch his dead body. A Fox hearing these words said with a smile to the Bear, “Oh! that you would eat the dead and not the living.” The Tortoise and the Eagle A TORTOISE, lazily basking in the sun, complained to the sea-birds of her hard fate, that no one would teach her to fly. An Eagle, hovering near, heard her lamentation and demanded what reward she would give him if he would take her aloft and float her in the air.",Aesop's Fables,Foundational,28.16,2.641,1.571,0.195,0.398,1.684,0.783,4.71,0.071,1.0,0.0
"A Fox hearing these words said with a smile to the Bear, “Oh! that you would eat the dead and not the living.” The Tortoise and the Eagle A TORTOISE, lazily basking in the sun, complained to the sea-birds of her hard fate, that no one would teach her to fly. An Eagle, hovering near, heard her lamentation and demanded what reward she would give him if he would take her aloft and float her in the air. “I will give you,” she said, “all the riches of the Red Sea.” “I will teach you to fly then,” said the Eagle; and taking her up in his talons he carried her almost to the clouds suddenly he let her go, and she fell on a lofty mountain, dashing her shell to pieces. The Tortoise exclaimed in the moment of death: “I have deserved my present fate; for what had I to do with wings and clouds, who can with difficulty move about on the earth?” If men had all they wished, they would be often ruined. The Fox and the Goat A FOX one day fell into a deep well and could find no means of escape. A Goat, overcome with thirst, came to the same well, and seeing the Fox, inquired if the water was good. Concealing his sad plight under a merry guise, the Fox indulged in a lavish praise of the water, saying it was excellent beyond measure, and encouraging him to descend. The Goat, mindful only of his thirst, thoughtlessly jumped down, but just as he drank, the Fox informed him of the difficulty they were both in and suggested a scheme for their common escape.",Aesop's Fables,Foundational,31.53,2.65,2.364,0.385,0.384,1.761,0.77,5.36,0.091,1.25,0.0
"A Goat, overcome with thirst, came to the same well, and seeing the Fox, inquired if the water was good. Concealing his sad plight under a merry guise, the Fox indulged in a lavish praise of the water, saying it was excellent beyond measure, and encouraging him to descend. The Goat, mindful only of his thirst, thoughtlessly jumped down, but just as he drank, the Fox informed him of the difficulty they were both in and suggested a scheme for their common escape. “If,” said he, “you will place your forefeet upon the wall and bend your head, I will run up your back and escape, and will help you out afterwards.” The Goat readily assented and the Fox leaped upon his back. Steadying himself with the Goat’s horns, he safely reached the mouth of the well and made off as fast as he could. When the Goat upbraided him for breaking his promise, he turned around and cried out, “You foolish old fellow! If you had as many brains in your head as you have hairs in your beard, you would never have gone down before you had inspected the way up, nor have exposed yourself to dangers from which you had no means of escape.” Look before you leap. The Raven and the Swan A RAVEN saw a Swan and desired to secure for himself the same beautiful plumage. Supposing that the Swan’s splendid white color arose from his washing in the water in which he swam, the Raven left the altars in the neighborhood where he picked up his living, and took up residence in the lakes and pools.",Aesop's Fables,Foundational,32.68,2.591,2.091,0.375,0.408,1.932,0.763,5.18,0.0,1.133,0.0
"Look before you leap. The Raven and the Swan A RAVEN saw a Swan and desired to secure for himself the same beautiful plumage. Supposing that the Swan’s splendid white color arose from his washing in the water in which he swam, the Raven left the altars in the neighborhood where he picked up his living, and took up residence in the lakes and pools. But cleansing his feathers as often as he would, he could not change their color, while through want of food he perished. Change of habit cannot alter Nature. The Thirsty Pigeon A PIGEON, oppressed by excessive thirst, saw a goblet of water painted on a signboard. Not supposing it to be only a picture, she flew towards it with a loud whir and unwittingly dashed against the signboard, jarring herself terribly. Having broken her wings by the blow, she fell to the ground, and was caught by one of the bystanders. Zeal should not outrun discretion. The Dog in the Manger A DOG lay in a manger, and by his growling and snapping prevented the oxen from eating the hay which had been placed for them. “What a selfish Dog!” said one of them to his companions; “he cannot eat the hay himself, and yet refuses to allow those to eat who can.” The Oxen and the Axle-Trees A HEAVY WAGON was being dragged along a country lane by a team of Oxen. The Axle-trees groaned and creaked terribly; whereupon the Oxen, turning round, thus addressed the wheels: “Hullo there! why do you make so much noise?",Aesop's Fables,Foundational,30.27,2.448,1.429,0.256,0.398,2.001,0.75,4.43,0.143,1.111,0.0
"The Oxen and the Axle-Trees A HEAVY WAGON was being dragged along a country lane by a team of Oxen. The Axle-trees groaned and creaked terribly; whereupon the Oxen, turning round, thus addressed the wheels: “Hullo there! why do you make so much noise? We bear all the labor, and we, not you, ought to cry out.” Those who suffer most cry out the least. The Farmer and the Cranes SOME CRANES made their feeding grounds on some plowlands newly sown with wheat. For a long time the Farmer, brandishing an empty sling, chased them away by the terror he inspired; but when the birds found that the sling was only swung in the air, they ceased to take any notice of it and would not move. The Farmer, on seeing this, charged his sling with stones, and killed a great number. The remaining birds at once forsook his fields, crying to each other, “It is time for us to be off to Liliput: for this man is no longer content to scare us, but begins to show us in earnest what he can do.” If words suffice not, blows must follow. The Sick Lion A LION, unable from old age and infirmities to provide himself with food by force, resolved to do so by artifice. He returned to his den, and lying down there, pretended to be sick, taking care that his sickness should be publicly known. The beasts expressed their sorrow, and came one by one to his den, where the Lion devoured them.",Aesop's Fables,Foundational,29.27,2.363,1.769,0.282,0.434,1.889,0.823,4.15,0.154,1.0,0.388
"The Sick Lion A LION, unable from old age and infirmities to provide himself with food by force, resolved to do so by artifice. He returned to his den, and lying down there, pretended to be sick, taking care that his sickness should be publicly known. The beasts expressed their sorrow, and came one by one to his den, where the Lion devoured them. After many of the beasts had thus disappeared, the Fox discovered the trick and presenting himself to the Lion, stood on the outside of the cave, at a respectful distance, and asked him how he was. “I am very middling,” replied the Lion, “but why do you stand without? Pray enter within to talk with me.” “No, thank you,” said the Fox. “I notice that there are many prints of feet entering your cave, but I see no trace of any returning.” He is wise who is warned by the misfortunes of others. The Bear and the Two Travelers TWO MEN were traveling together, when a Bear suddenly met them on their path. One of them climbed up quickly into a tree and concealed himself in the branches. The other, seeing that he must be attacked, fell flat on the ground, and when the Bear came up and felt him with his snout, and smelt him all over, he held his breath, and feigned the appearance of death as much as he could. The Bear soon left him, for it is said he will not touch a dead body. When he was quite gone, the other Traveler descended from the tree, and jocularly inquired of his friend what it was the Bear had whispered in his ear.",Aesop's Fables,Foundational,30.53,2.328,1.643,0.343,0.399,1.766,0.795,4.57,0.0,1.0,0.356
"The other, seeing that he must be attacked, fell flat on the ground, and when the Bear came up and felt him with his snout, and smelt him all over, he held his breath, and feigned the appearance of death as much as he could. The Bear soon left him, for it is said he will not touch a dead body. When he was quite gone, the other Traveler descended from the tree, and jocularly inquired of his friend what it was the Bear had whispered in his ear. “He gave me this advice,” his companion replied. “Never travel with a friend who deserts you at the approach of danger.” Misfortune tests the sincerity of friends. The Fox Who Had Lost His Tail A FOX caught in a trap escaped, but in so doing lost his tail. Thereafter, feeling his life a burden from the shame and ridicule to which he was exposed, he schemed to convince all the other Foxes that being tailless was much more attractive, thus making up for his own deprivation. He assembled a good many Foxes and publicly advised them to cut off their tails, saying that they would not only look much better without them, but that they would get rid of the weight of the brush, which was a very great inconvenience. One of them interrupting him said, “If you had not yourself lost your tail, my friend, you would not thus counsel us.” The Cat and the Cock A CAT caught a Cock, and pondered how he might find a reasonable excuse for eating him.",Aesop's Fables,Foundational,31.62,2.93,2.182,0.324,0.414,1.69,0.793,5.91,0.0,1.0,0.0
"He assembled a good many Foxes and publicly advised them to cut off their tails, saying that they would not only look much better without them, but that they would get rid of the weight of the brush, which was a very great inconvenience. One of them interrupting him said, “If you had not yourself lost your tail, my friend, you would not thus counsel us.” The Cat and the Cock A CAT caught a Cock, and pondered how he might find a reasonable excuse for eating him. He accused him of being a nuisance to men by crowing in the nighttime and not permitting them to sleep. The Cock defended himself by saying that he did this for the benefit of men, that they might rise in time for their labours. The Cat replied, “Although you abound in specious apologies, I shall not remain supperless;” and he made a meal of him. The Wolf in Sheep’s Clothing ONCE UPON A TIME a Wolf resolved to disguise his appearance in order to secure food more easily. Encased in the skin of a sheep, he pastured with the flock deceiving the shepherd by his costume. In the evening he was shut up by the shepherd in the fold; the gate was closed, and the entrance made thoroughly secure. But the shepherd, returning to the fold during the night to obtain meat for the next day, mistakenly caught up the Wolf instead of a sheep, and killed him instantly. Harm seek, harm find. The Goat and the Goatherd A GOATHERD had sought to bring back a stray goat to his flock.",Aesop's Fables,Foundational,32.37,2.947,1.583,0.159,0.401,1.897,0.747,5.83,0.0,1.077,0.0
"But the shepherd, returning to the fold during the night to obtain meat for the next day, mistakenly caught up the Wolf instead of a sheep, and killed him instantly. Harm seek, harm find. The Goat and the Goatherd A GOATHERD had sought to bring back a stray goat to his flock. He whistled and sounded his horn in vain; the straggler paid no attention to the summons. At last the Goatherd threw a stone, and breaking its horn, begged the Goat not to tell his master. The Goat replied, “Why, you silly fellow, the horn will speak though I be silent.” Do not attempt to hide things which cannot be hid. The Boasting Traveler A MAN who had traveled in foreign lands boasted very much, on returning to his own country, of the many wonderful and heroic feats he had performed in the different places he had visited. Among other things, he said that when he was at Rhodes he had leaped to such a distance that no man of his day could leap anywhere near him as to that, there were in Rhodes many persons who saw him do it and whom he could call as witnesses. One of the bystanders interrupted him, saying: “Now, my good man, if this be all true there is no need of witnesses. Suppose this to be Rhodes, and leap for us.” The Lion in Love A LION demanded the daughter of a woodcutter in marriage. The Father, unwilling to grant, and yet afraid to refuse his request, hit upon this expedient to rid himself of his importunities.",Aesop's Fables,Foundational,30.05,2.892,1.923,0.209,0.419,1.818,0.786,5.08,0.0,1.231,0.0
"Suppose this to be Rhodes, and leap for us.” The Lion in Love A LION demanded the daughter of a woodcutter in marriage. The Father, unwilling to grant, and yet afraid to refuse his request, hit upon this expedient to rid himself of his importunities. He expressed his willingness to accept the Lion as the suitor of his daughter on one condition: that he should allow him to extract his teeth, and cut off his claws, as his daughter was fearfully afraid of both. The Lion cheerfully assented to the proposal. But when the toothless, clawless Lion returned to repeat his request, the Woodman, no longer afraid, set upon him with his club, and drove him away into the forest. The Miser A MISER sold all that he had and bought a lump of gold, which he buried in a hole in the ground by the side of an old wall and went to look at daily. One of his workmen observed his frequent visits to the spot and decided to watch his movements. He soon discovered the secret of the hidden treasure, and digging down, came to the lump of gold, and stole it. The Miser, on his next visit, found the hole empty and began to tear his hair and to make loud lamentations. A neighbor, seeing him overcome with grief and learning the cause, said, “Pray do not grieve so; but go and take a stone, and place it in the hole, and fancy that the gold is still lying there. It will do you quite the same service; for when the gold was there, you had it not, as you did not make the slightest use of it.”",Aesop's Fables,Foundational,31.88,2.972,1.583,0.227,0.418,1.865,0.744,5.5,0.0,1.143,0.0
"The Miser, on his next visit, found the hole empty and began to tear his hair and to make loud lamentations. A neighbor, seeing him overcome with grief and learning the cause, said, “Pray do not grieve so; but go and take a stone, and place it in the hole, and fancy that the gold is still lying there. It will do you quite the same service; for when the gold was there, you had it not, as you did not make the slightest use of it.” The Porker, the Sheep, and the Goat A young Pig was shut up in a fold-yard with a Goat and a Sheep. On one occasion the shepherd laid hold of him, when he grunted, and squeaked, and resisted violently. The Sheep and the Goat complained of his distressing cries, and said, “He often handles us, and we do not cry out.” To this he replied, “Your handling and mine are very different things. He catches you only for your wool, or your milk, but he lays hold on me for my very life.” The Boy and the Filberts A BOY put his hand into a pitcher full of filberts. He grasped as many as he could possibly hold, but when he tried to pull out his hand, he was prevented from doing so by the neck of the pitcher. Unwilling to lose his filberts, and yet unable to withdraw his hand, he burst into tears and bitterly lamented his disappointment. A bystander said to him, “Be satisfied with half the quantity, and you will readily draw out your hand.”",Aesop's Fables,Foundational,30.88,2.503,1.417,0.225,0.423,1.799,0.745,5.0,0.083,1.0,0.0
"He grasped as many as he could possibly hold, but when he tried to pull out his hand, he was prevented from doing so by the neck of the pitcher. Unwilling to lose his filberts, and yet unable to withdraw his hand, he burst into tears and bitterly lamented his disappointment. A bystander said to him, “Be satisfied with half the quantity, and you will readily draw out your hand.” Do not attempt too much at once. The Frogs Asking for a King THE FROGS, grieved at having no established Ruler, sent ambassadors to Jupiter entreating for a King. Perceiving their simplicity, he cast down a huge log into the lake. The Frogs were terrified at the splash occasioned by its fall and hid themselves in the depths of the pool. But as soon as they realized that the huge log was motionless, they swam again to the top of the water, dismissed their fears, climbed up, and began squatting on it in contempt. After some time they began to think themselves ill-treated in the appointment of so inert a Ruler, and sent a second deputation to Jupiter to pray that he would set over them another sovereign. He then gave them an Eel to govern them. When the Frogs discovered his easy good nature, they sent yet a third time to Jupiter to beg him to choose for them still another King. Jupiter, displeased with all their complaints, sent a Heron, who preyed upon the Frogs day by day till there were none left to croak upon the lake. The Laborer and the Snake A SNAKE, having made his hole close to the porch of a cottage, inflicted a mortal bite on the Cottager’s infant son.",Aesop's Fables,Foundational,33.05,2.622,2.0,0.238,0.434,1.957,0.801,5.23,0.077,1.083,0.0
"When the Frogs discovered his easy good nature, they sent yet a third time to Jupiter to beg him to choose for them still another King. Jupiter, displeased with all their complaints, sent a Heron, who preyed upon the Frogs day by day till there were none left to croak upon the lake. The Laborer and the Snake A SNAKE, having made his hole close to the porch of a cottage, inflicted a mortal bite on the Cottager’s infant son. Grieving over his loss, the Father resolved to kill the Snake. The next day, when it came out of its hole for food, he took up his axe, but by swinging too hastily, missed its head and cut off only the end of its tail. After some time the Cottager, afraid that the Snake would bite him also, endeavored to make peace, and placed some bread and salt in the hole. The Snake, slightly hissing, said: “There can henceforth be no peace between us; for whenever I see you I shall remember the loss of my tail, and whenever you see me you will be thinking of the death of your son.” No one truly forgets injuries in the presence of him who caused the injury. The Lion, the Mouse, and the Fox A LION, fatigued by the heat of a summer’s day, fell fast asleep in his den. A Mouse ran over his mane and ears and woke him from his slumbers. He rose up and shook himself in great wrath, and searched every corner of his den to find the Mouse.",Aesop's Fables,Foundational,30.17,2.725,1.909,0.239,0.399,1.777,0.773,5.91,0.0,1.417,0.0
"The Lion, the Mouse, and the Fox A LION, fatigued by the heat of a summer’s day, fell fast asleep in his den. A Mouse ran over his mane and ears and woke him from his slumbers. He rose up and shook himself in great wrath, and searched every corner of his den to find the Mouse. A Fox seeing him said: “A fine Lion you are, to be frightened of a Mouse.” “’Tis not the Mouse I fear,” said the Lion; “I resent his familiarity and ill-breeding.” Little liberties are great offenses. The Horse and Groom A GROOM used to spend whole days in currycombing and rubbing down his Horse, but at the same time stole his oats and sold them for his own profit. “Alas!” said the Horse, “if you really wish me to be in good condition, you should groom me less, and feed me more.” The Ass and the Mule A MULETEER set forth on a journey, driving before him an Ass and a Mule, both well laden. The Ass, as long as he traveled along the plain, carried his load with ease, but when he began to ascend the steep path of the mountain, felt his load to be more than he could bear. He entreated his companion to relieve him of a small portion, that he might carry home the rest; but the Mule paid no attention to the request. The Ass shortly afterwards fell down dead under his burden. Not knowing what else to do in so wild a region, the Muleteer placed upon the Mule the load carried by the Ass in addition to his own, and at the top of all placed the hide of the Ass, after he had skinned him.",Aesop's Fables,Foundational,30.38,2.545,1.692,0.341,0.39,1.811,0.758,5.15,0.077,1.053,0.0
"He entreated his companion to relieve him of a small portion, that he might carry home the rest; but the Mule paid no attention to the request. The Ass shortly afterwards fell down dead under his burden. Not knowing what else to do in so wild a region, the Muleteer placed upon the Mule the load carried by the Ass in addition to his own, and at the top of all placed the hide of the Ass, after he had skinned him. The Mule, groaning beneath his heavy burden, said to himself: “I am treated according to my deserts. If I had only been willing to assist the Ass a little in his need, I should not now be bearing, together with his burden, himself as well.” The Ass and the Lapdog A MAN had an Ass, and a Maltese Lapdog, a very great beauty. The Ass was left in a stable and had plenty of oats and hay to eat, just as any other Ass would. The Lapdog knew many tricks and was a great favourite with his master, who often fondled him and seldom went out to dine without bringing him home some tidbit to eat. The Ass, on the contrary, had much work to do in grinding the corn-mill and in carrying wood from the forest or burdens from the farm. He often lamented his own hard fate and contrasted it with the luxury and idleness of the Lapdog, till at last one day he broke his cords and halter, and galloped into his master’s house, kicking up his heels without measure, and frisking and fawning as well as he could.",Aesop's Fables,Foundational,32.22,3.019,1.8,0.325,0.415,1.804,0.762,6.2,0.1,1.2,0.0
"The Lapdog knew many tricks and was a great favourite with his master, who often fondled him and seldom went out to dine without bringing him home some tidbit to eat. The Ass, on the contrary, had much work to do in grinding the corn-mill and in carrying wood from the forest or burdens from the farm. He often lamented his own hard fate and contrasted it with the luxury and idleness of the Lapdog, till at last one day he broke his cords and halter, and galloped into his master’s house, kicking up his heels without measure, and frisking and fawning as well as he could. He next tried to jump about his master as he had seen the Lapdog do, but he broke the table and smashed all the dishes upon it to atoms. He then attempted to lick his master, and jumped upon his back. The servants, hearing the strange hubbub and perceiving the danger of their master, quickly relieved him, and drove out the Ass to his stable with kicks and clubs and cuffs. The Ass, as he returned to his stall beaten nearly to death, thus lamented: “I have brought it all on myself! Why could I not have been contented to labor with my companions, and not wish to be idle all the day like that useless little Lapdog!” The Oxen and the Butchers THE OXEN once upon a time sought to destroy the Butchers, who practiced a trade destructive to their race. They assembled on a certain day to carry out their purpose, and sharpened their horns for the contest.",Aesop's Fables,Foundational,33.55,3.193,1.7,0.213,0.429,1.94,0.748,6.6,0.1,1.167,0.0
"Why could I not have been contented to labor with my companions, and not wish to be idle all the day like that useless little Lapdog!” The Oxen and the Butchers THE OXEN once upon a time sought to destroy the Butchers, who practiced a trade destructive to their race. They assembled on a certain day to carry out their purpose, and sharpened their horns for the contest. But one of them who was exceedingly old (for many a field had he plowed) thus spoke: “These Butchers, it is true, slaughter us, but they do so with skillful hands, and with no unnecessary pain. If we get rid of them, we shall fall into the hands of unskillful operators, and thus suffer a double death: for you may be assured, that though all the Butchers should perish, yet will men never want beef.” Do not be in a hurry to change one evil for another. The Shepherd’s Boy and the Wolf A SHEPHERD-BOY, who watched a flock of sheep near a village, brought out the villagers three or four times by crying out, “Wolf! Wolf!” and when his neighbors came to help him, laughed at them for their pains. The Wolf, however, did truly come at last. The Shepherd-boy, now really alarmed, shouted in an agony of terror: “Pray, do come and help me; the Wolf is killing the sheep;” but no one paid any heed to his cries, nor rendered any assistance. The Wolf, having no cause of fear, at his leisure lacerated or destroyed the whole flock.",Aesop's Fables,Foundational,31.5,2.428,1.636,0.317,0.395,1.701,0.824,4.91,0.182,1.143,0.0
"The Wolf, however, did truly come at last. The Shepherd-boy, now really alarmed, shouted in an agony of terror: “Pray, do come and help me; the Wolf is killing the sheep;” but no one paid any heed to his cries, nor rendered any assistance. The Wolf, having no cause of fear, at his leisure lacerated or destroyed the whole flock. There is no believing a liar, even when he speaks the truth. The Boys and the Frogs SOME BOYS, playing near a pond, saw a number of Frogs in the water and began to pelt them with stones. They killed several of them, when one of the Frogs, lifting his head out of the water, cried out: “Pray stop, my boys: what is sport to you, is death to us.” The Salt Merchant and His Ass A PEDDLER drove his Ass to the seashore to buy salt. His road home lay across a stream into which his Ass, making a false step, fell by accident and rose up again with his load considerably lighter, as the water melted the sack. The Peddler retraced his steps and refilled his panniers with a larger quantity of salt than before. When he came again to the stream, the Ass fell down on purpose in the same spot, and, regaining his feet with the weight of his load much diminished, brayed triumphantly as if he had obtained what he desired. The Peddler saw through his trick and drove him for the third time to the coast, where he bought a cargo of sponges instead of salt.",Aesop's Fables,Foundational,31.57,2.484,1.909,0.231,0.437,1.839,0.767,4.82,0.091,1.071,0.0
"The Peddler retraced his steps and refilled his panniers with a larger quantity of salt than before. When he came again to the stream, the Ass fell down on purpose in the same spot, and, regaining his feet with the weight of his load much diminished, brayed triumphantly as if he had obtained what he desired. The Peddler saw through his trick and drove him for the third time to the coast, where he bought a cargo of sponges instead of salt. The Ass, again playing the fool, fell down on purpose when he reached the stream, but the sponges became swollen with water, greatly increasing his load. And thus his trick recoiled on him, for he now carried on his back a double burden. The Mischievous Dog A DOG used to run up quietly to the heels of everyone he met, and to bite them without notice. His master suspended a bell about his neck so that the Dog might give notice of his presence wherever he went. Thinking it a mark of distinction, the Dog grew proud of his bell and went tinkling it all over the marketplace. One day an old hound said to him: “Why do you make such an exhibition of yourself? That bell that you carry is not, believe me, any order of merit, but on the contrary a mark of disgrace, a public notice to all men to avoid you as an ill mannered dog.” Notoriety is often mistaken for fame. The Goatherd and the Wild Goats A GOATHERD, driving his flock from their pasture at eventide, found some Wild Goats mingled among them, and shut them up together with his own for the night.",Aesop's Fables,Foundational,32.22,2.377,1.75,0.296,0.422,1.862,0.792,4.92,0.0,1.263,0.0
"That bell that you carry is not, believe me, any order of merit, but on the contrary a mark of disgrace, a public notice to all men to avoid you as an ill mannered dog.” Notoriety is often mistaken for fame. The Goatherd and the Wild Goats A GOATHERD, driving his flock from their pasture at eventide, found some Wild Goats mingled among them, and shut them up together with his own for the night. The next day it snowed very hard, so that he could not take the herd to their usual feeding places, but was obliged to keep them in the fold. He gave his own goats just sufficient food to keep them alive, but fed the strangers more abundantly in the hope of enticing them to stay with him and of making them his own. When the thaw set in, he led them all out to feed, and the Wild Goats scampered away as fast as they could to the mountains. The Goatherd scolded them for their ingratitude in leaving him, when during the storm he had taken more care of them than of his own herd. One of them, turning about, said to him: “That is the very reason why we are so cautious; for if you yesterday treated us better than the Goats you have had so long, it is plain also that if others came after us, you would in the same manner prefer them to ourselves.” Old friends cannot with impunity be sacrificed for new ones. The Man and His Two Sweethearts A MIDDLE-AGED MAN, whose hair had begun to turn gray, courted two women at the same time.",Aesop's Fables,Foundational,32.09,2.796,2.2,0.317,0.406,1.732,0.804,5.3,0.1,1.0,0.36
"One of them, turning about, said to him: “That is the very reason why we are so cautious; for if you yesterday treated us better than the Goats you have had so long, it is plain also that if others came after us, you would in the same manner prefer them to ourselves.” Old friends cannot with impunity be sacrificed for new ones. The Man and His Two Sweethearts A MIDDLE-AGED MAN, whose hair had begun to turn gray, courted two women at the same time. One of them was young, and the other well advanced in years. The elder woman, ashamed to be courted by a man younger than herself, made a point, whenever her admirer visited her, to pull out some portion of his black hairs. The younger, on the contrary, not wishing to become the wife of an old man, was equally zealous in removing every gray hair she could find. Thus it came to pass that between them both he very soon found that he had not a hair left on his head. Those who seek to please everybody please nobody. The Sick Stag A SICK STAG lay down in a quiet corner of its pasture-ground. His companions came in great numbers to inquire after his health, and each one helped himself to a share of the food which had been placed for his use; so that he died, not from his sickness, but from the failure of the means of living. Evil companions bring more hurt than profit. The Boy and the Nettles A BOY was stung by a Nettle.",Aesop's Fables,Foundational,28.25,2.98,1.833,0.209,0.422,1.569,0.836,5.42,0.167,1.0,0.0
"His companions came in great numbers to inquire after his health, and each one helped himself to a share of the food which had been placed for his use; so that he died, not from his sickness, but from the failure of the means of living. Evil companions bring more hurt than profit. The Boy and the Nettles A BOY was stung by a Nettle. He ran home and told his Mother, saying, “Although it hurts me very much, I only touched it gently.” “That was just why it stung you,” said his Mother. “The next time you touch a Nettle, grasp it boldly, and it will be soft as silk to your hand, and not in the least hurt you.” Whatever you do, do with all your might. The Astronomer AN ASTRONOMER used to go out at night to observe the stars. One evening, as he wandered through the suburbs with his whole attention fixed on the sky, he fell accidentally into a deep well. While he lamented and bewailed his sores and bruises, and cried loudly for help, a neighbor ran to the well, and learning what had happened said: “Hark ye, old fellow, why, in striving to pry into what is in heaven, do you not manage to see what is on earth?” The Wolves and the Sheep “WHY SHOULD there always be this fear and slaughter between us?” said the Wolves to the Sheep. “Those evil-disposed Dogs have much to answer for. They always bark whenever we approach you and attack us before we have done any harm.",Aesop's Fables,Foundational,26.89,2.675,1.769,0.368,0.403,1.614,0.785,5.0,0.077,1.0,0.0
"The Wolves and the Sheep “WHY SHOULD there always be this fear and slaughter between us?” said the Wolves to the Sheep. “Those evil-disposed Dogs have much to answer for. They always bark whenever we approach you and attack us before we have done any harm. If you would only dismiss them from your heels, there might soon be treaties of peace and reconciliation between us.” The Sheep, poor silly creatures, were easily beguiled and dismissed the Dogs, whereupon the Wolves destroyed the unguarded flock at their own pleasure. The Cat and the Birds A CAT, hearing that the Birds in a certain aviary were ailing dressed himself up as a physician, and, taking his cane and a bag of instruments becoming his profession, went to call on them. He knocked at the door and inquired of the inmates how they all did, saying that if they were ill, he would be happy to prescribe for them and cure them. They replied, “We are all very well, and shall continue so, if you will only be good enough to go away, and leave us as we are.” The Vain Jackdaw JUPITER DETERMINED, it is said, to create a sovereign over the birds, and made proclamation that on a certain day they should all present themselves before him, when he would himself choose the most beautiful among them to be king. The Jackdaw, knowing his own ugliness, searched through the woods and fields, and collected the feathers which had fallen from the wings of his companions, and stuck them in all parts of his body, hoping thereby to make himself the most beautiful of all.",Aesop's Fables,Foundational,31.74,3.158,2.4,0.265,0.382,1.753,0.822,5.8,0.1,1.0,0.0
"They replied, “We are all very well, and shall continue so, if you will only be good enough to go away, and leave us as we are.” The Vain Jackdaw JUPITER DETERMINED, it is said, to create a sovereign over the birds, and made proclamation that on a certain day they should all present themselves before him, when he would himself choose the most beautiful among them to be king. The Jackdaw, knowing his own ugliness, searched through the woods and fields, and collected the feathers which had fallen from the wings of his companions, and stuck them in all parts of his body, hoping thereby to make himself the most beautiful of all. When the appointed day arrived, and the birds had assembled before Jupiter, the Jackdaw also made his appearance in his many feathered finery. But when Jupiter proposed to make him king because of the beauty of his plumage, the birds indignantly protested, and each plucked from him his own feathers, leaving the Jackdaw nothing but a Jackdaw. The Kid and the Wolf A KID standing on the roof of a house, out of harm’s way, saw a Wolf passing by and immediately began to taunt and revile him. The Wolf, looking up, said, “Sirrah! I hear thee: yet it is not thou who mockest me, but the roof on which thou art standing.” Time and place often give the advantage to the weak over the strong. The Old Woman and the Physician AN OLD WOMAN having lost the use of her eyes, called in a Physician to heal them, and made this bargain with him in the presence of witnesses: that if he should cure her blindness, he should receive from her a sum of money; but if her infirmity remained, she should give him nothing.",Aesop's Fables,Foundational,34.15,2.879,2.5,0.286,0.39,1.721,0.773,5.7,0.0,1.071,0.0
"I hear thee: yet it is not thou who mockest me, but the roof on which thou art standing.” Time and place often give the advantage to the weak over the strong. The Old Woman and the Physician AN OLD WOMAN having lost the use of her eyes, called in a Physician to heal them, and made this bargain with him in the presence of witnesses: that if he should cure her blindness, he should receive from her a sum of money; but if her infirmity remained, she should give him nothing. This agreement being made, the Physician, time after time, applied his salve to her eyes, and on every visit took something away, stealing all her property little by little. And when he had got all she had, he healed her and demanded the promised payment. The Old Woman, when she recovered her sight and saw none of her goods in her house, would give him nothing. The Physician insisted on his claim, and, as she still refused, summoned her before the Judge. The Old Woman, standing up in the Court, argued: “This man here speaks the truth in what he says; for I did promise to give him a sum of money if I should recover my sight: but if I continued blind, I was to give him nothing. Now he declares that I am healed. I on the contrary affirm that I am still blind; for when I lost the use of my eyes, I saw in my house various chattels and valuable goods: but now, though he swears I am cured of my blindness, I am not able to see a single thing in it.”",Aesop's Fables,Foundational,32.49,2.435,2.5,0.405,0.38,1.594,0.761,4.7,0.0,1.267,0.0
